system,category,property,method,value,reference,error,relative_error_percent,source
Al,simple_metal,lattice_constant_A,revPBE_vdW,4.084,4.02,0.06400000000000006,1.5920398009950265,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Al,simple_metal,lattice_constant_A,rPW86_vdW2,4.084,4.02,0.06400000000000006,1.5920398009950265,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Al,simple_metal,lattice_constant_A,optPBE_vdW,4.058,4.02,0.038000000000000256,0.9452736318408039,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Al,simple_metal,lattice_constant_A,optB88_vdW,4.054,4.02,0.034000000000000696,0.8457711442786175,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Al,simple_metal,lattice_constant_A,optB86b_vdW,4.036,4.02,0.016000000000000014,0.3980099502487455,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Al,simple_metal,lattice_constant_A,LDA,3.985,4.02,-0.0349999999999997,-0.8706467661691475,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Al,simple_metal,lattice_constant_A,PBEsol,4.018,4.02,-0.0019999999999997797,-0.04975124378109319,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Al,simple_metal,lattice_constant_A,PBE,4.041,4.02,0.021000000000000796,0.5223880597015063,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiF,ionic,lattice_constant_A,revPBE_vdW,4.116,3.964,0.1519999999999997,3.8345105953582204,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiF,ionic,lattice_constant_A,rPW86_vdW2,4.08,3.964,0.1160000000000001,2.9263370332996974,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiF,ionic,lattice_constant_A,optPBE_vdW,4.067,3.964,0.1030000000000002,2.598385469223019,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiF,ionic,lattice_constant_A,optB88_vdW,4.033,3.964,0.0690000000000004,1.7406659939455116,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiF,ionic,lattice_constant_A,optB86b_vdW,4.037,3.964,0.07299999999999995,1.8415741675075648,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiF,ionic,lattice_constant_A,LDA,3.913,3.964,-0.051000000000000156,-1.28657921291625,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiF,ionic,lattice_constant_A,PBEsol,4.01,3.964,0.04599999999999982,1.160443995963667,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiF,ionic,lattice_constant_A,PBE,4.068,3.964,0.10399999999999965,2.6236125126135157,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiCl,ionic,lattice_constant_A,revPBE_vdW,5.223,5.056,0.16699999999999982,3.303006329113911,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiCl,ionic,lattice_constant_A,rPW86_vdW2,5.204,5.056,0.1479999999999997,2.927215189873422,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiCl,ionic,lattice_constant_A,optPBE_vdW,5.153,5.056,0.09699999999999953,1.9185126582278444,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiCl,ionic,lattice_constant_A,optB88_vdW,5.114,5.056,0.05799999999999983,1.1471518987341778,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiCl,ionic,lattice_constant_A,optB86b_vdW,5.103,5.056,0.04699999999999971,0.9295886075949333,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiCl,ionic,lattice_constant_A,LDA,4.968,5.056,-0.08800000000000008,-1.7405063291139222,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiCl,ionic,lattice_constant_A,PBEsol,5.067,5.056,0.01100000000000012,0.21756329113924444,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
LiCl,ionic,lattice_constant_A,PBE,5.152,5.056,0.09600000000000009,1.8987341772152,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaF,ionic,lattice_constant_A,revPBE_vdW,4.752,4.579,0.17300000000000004,3.7781174929023775,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaF,ionic,lattice_constant_A,rPW86_vdW2,4.693,4.579,0.11399999999999988,2.4896265560165887,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaF,ionic,lattice_constant_A,optPBE_vdW,4.693,4.579,0.11399999999999988,2.4896265560165887,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaF,ionic,lattice_constant_A,optB88_vdW,4.647,4.579,0.0680000000000005,1.485040401834481,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaF,ionic,lattice_constant_A,optB86b_vdW,4.658,4.579,0.07900000000000063,1.7252675256606453,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaF,ionic,lattice_constant_A,LDA,4.502,4.579,-0.07699999999999996,-1.6815898667831397,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaF,ionic,lattice_constant_A,PBEsol,4.636,4.579,0.057000000000000384,1.2448132780083165,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaF,ionic,lattice_constant_A,PBE,4.708,4.579,0.12900000000000045,2.817208997597742,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaCl,ionic,lattice_constant_A,revPBE_vdW,5.75,5.565,0.1849999999999996,3.3243486073674777,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaCl,ionic,lattice_constant_A,rPW86_vdW2,5.694,5.565,0.12899999999999956,2.3180592991913773,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaCl,ionic,lattice_constant_A,optPBE_vdW,5.673,5.565,0.10799999999999965,1.9407008086253397,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaCl,ionic,lattice_constant_A,optB88_vdW,5.622,5.565,0.056999999999999496,1.0242587601078101,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaCl,ionic,lattice_constant_A,optB86b_vdW,5.627,5.565,0.06199999999999939,1.114106019766381,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaCl,ionic,lattice_constant_A,LDA,5.465,5.565,-0.10000000000000053,-1.7969451931716174,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaCl,ionic,lattice_constant_A,PBEsol,5.609,5.565,0.043999999999999595,0.7906558849954948,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
NaCl,ionic,lattice_constant_A,PBE,5.701,5.565,0.13599999999999923,2.4438454627133677,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
MgO,ionic,lattice_constant_A,revPBE_vdW,4.281,4.184,0.09699999999999953,2.3183556405353523,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
MgO,ionic,lattice_constant_A,rPW86_vdW2,4.282,4.184,0.09799999999999986,2.342256214149141,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
MgO,ionic,lattice_constant_A,optPBE_vdW,4.252,4.184,0.06799999999999962,1.6252390057361232,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
MgO,ionic,lattice_constant_A,optB88_vdW,4.231,4.184,0.04699999999999971,1.1233269598470264,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
MgO,ionic,lattice_constant_A,optB86b_vdW,4.23,4.184,0.04600000000000026,1.099426386233282,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
MgO,ionic,lattice_constant_A,LDA,4.168,4.184,-0.016000000000000014,-0.3824091778202643,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
MgO,ionic,lattice_constant_A,PBEsol,4.222,4.184,0.038000000000000256,0.9082217973231499,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
MgO,ionic,lattice_constant_A,PBE,4.257,4.184,0.07299999999999951,1.7447418738049558,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
C,covalent,lattice_constant_A,revPBE_vdW,3.6,3.543,0.05699999999999994,1.608806096528359,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
C,covalent,lattice_constant_A,rPW86_vdW2,3.608,3.543,0.06499999999999995,1.8346034434095326,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
C,covalent,lattice_constant_A,optPBE_vdW,3.585,3.543,0.041999999999999815,1.1854360711261558,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
C,covalent,lattice_constant_A,optB88_vdW,3.577,3.543,0.03399999999999981,0.9596387242449822,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
C,covalent,lattice_constant_A,optB86b_vdW,3.572,3.543,0.028999999999999915,0.8185153824442626,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
C,covalent,lattice_constant_A,LDA,3.532,3.543,-0.01100000000000012,-0.31047135196161646,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
C,covalent,lattice_constant_A,PBEsol,3.557,3.543,0.01399999999999979,0.39514535704205933,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
C,covalent,lattice_constant_A,PBE,3.574,3.543,0.030999999999999694,0.8749647191645504,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
SiC,covalent,lattice_constant_A,revPBE_vdW,4.406,4.342,0.06400000000000006,1.4739751266697354,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
SiC,covalent,lattice_constant_A,rPW86_vdW2,4.424,4.342,0.08200000000000074,1.8885306310456151,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
SiC,covalent,lattice_constant_A,optPBE_vdW,4.386,4.342,0.04400000000000048,1.0133578995854542,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
SiC,covalent,lattice_constant_A,optB88_vdW,4.375,4.342,0.03300000000000036,0.7600184246890906,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
SiC,covalent,lattice_constant_A,optB86b_vdW,4.369,4.342,0.027000000000000135,0.6218332565637974,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
SiC,covalent,lattice_constant_A,LDA,4.329,4.342,-0.0129999999999999,-0.29940119760478723,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
SiC,covalent,lattice_constant_A,PBEsol,4.354,4.342,0.012000000000000455,0.2763703362505865,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
SiC,covalent,lattice_constant_A,PBE,4.377,4.342,0.03500000000000014,0.8060801473975143,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Si,semiconductor,lattice_constant_A,revPBE_vdW,5.507,5.416,0.0909999999999993,1.680206794682415,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Si,semiconductor,lattice_constant_A,rPW86_vdW2,5.523,5.416,0.10699999999999932,1.9756277695716307,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Si,semiconductor,lattice_constant_A,optPBE_vdW,5.476,5.416,0.05999999999999961,1.107828655834564,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Si,semiconductor,lattice_constant_A,optB88_vdW,5.46,5.416,0.043999999999999595,0.8124076809453484,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Si,semiconductor,lattice_constant_A,optB86b_vdW,5.447,5.416,0.030999999999999694,0.572378138847851,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Si,semiconductor,lattice_constant_A,LDA,5.403,5.416,-0.013000000000000789,-0.24002954209750849,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Si,semiconductor,lattice_constant_A,PBEsol,5.429,5.416,0.0129999999999999,0.24002954209749738,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
