solid,structure,method,eos_mesh,energy_mesh,fit_status,sp_completed,sp_scf_strategy,a_calc_A,a_ref_exp_A,a_error_A,a_abs_error_A,ecoh_calc_eV_per_atom,ecoh_ref_exp_eV_per_atom,ecoh_error_eV_per_atom,ecoh_abs_error_eV_per_atom,solid_energy_hartree,atom_reference_source,a_HF_A,a_MP2_A,a_SCS_MP2_A,a_SOS_MP2_A,ecoh_HF_eV_per_atom,ecoh_MP2_eV_per_atom,ecoh_SCS_MP2_eV_per_atom,ecoh_SOS_MP2_eV_per_atom
MgS,rocksalt,GFN2,k444,k555,quadratic,True,,5.14825648,5.188,-0.03974352,0.03974352,4.59146112,4.04,0.55146112,0.55146112,-15.799590812050,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
LiH,rocksalt,GFN1,k444,k333,quadratic,True,,4.09839950,3.979,0.11939950,0.11939950,3.84033866,2.49,1.35033866,1.35033866,-3.803442410307,tblite_cli,4.094,3.996,4.009,4.015,1.85,2.41,2.45,2.48
LiH,rocksalt,GFN1,k444,k444,quadratic,True,,4.09839950,3.979,0.11939950,0.11939950,3.85701387,2.49,1.36701387,1.36701387,-3.808344830942,tblite_cli,4.094,3.996,4.009,4.015,1.85,2.41,2.45,2.48
LiH,rocksalt,GFN1,k444,k555,quadratic,True,,4.09839950,3.979,0.11939950,0.11939950,3.85934905,2.49,1.36934905,1.36934905,-3.809031361734,tblite_cli,4.094,3.996,4.009,4.015,1.85,2.41,2.45,2.48
LiF,rocksalt,GFN1,k444,k333,quadratic,True,,3.75162071,3.973,-0.22137929,0.22137929,5.15643941,4.46,0.69643941,0.69643941,-22.572430367741,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiF,rocksalt,GFN1,k444,k444,quadratic,True,,3.75162071,3.973,-0.22137929,0.22137929,5.18601937,4.46,0.72601937,0.72601937,-22.581126714193,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiF,rocksalt,GFN1,k444,k555,quadratic,True,,3.75162071,3.973,-0.22137929,0.22137929,5.19152873,4.46,0.73152873,0.73152873,-22.582746437015,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiF,rocksalt,GFN2,k444,k333,quadratic,True,,4.01333067,3.973,0.04033067,0.04033067,4.86892366,4.46,0.40892366,0.40892366,-20.629083722905,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiF,rocksalt,GFN2,k444,k444,quadratic,True,,4.01333067,3.973,0.04033067,0.04033067,4.86987630,4.46,0.40987630,0.40987630,-20.629363795324,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiF,rocksalt,GFN2,k444,k555,quadratic,True,,4.01333067,3.973,0.04033067,0.04033067,4.87007233,4.46,0.41007233,0.41007233,-20.629421425887,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiCl,rocksalt,GFN1,k444,k333,quadratic,True,,4.81365977,5.072,-0.25834023,0.25834023,4.59124425,3.58,1.01124425,1.01124425,-19.083902459932,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
LiCl,rocksalt,GFN1,k444,k444,quadratic,True,,4.81365977,5.072,-0.25834023,0.25834023,4.59855726,3.58,1.01855726,1.01855726,-19.086052444732,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
LiCl,rocksalt,GFN1,k444,k555,quadratic,True,,4.81365977,5.072,-0.25834023,0.25834023,4.59956725,3.58,1.01956725,1.01956725,-19.086349376979,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
LiCl,rocksalt,GFN2,k444,k333,quadratic,True,,4.83412333,5.072,-0.23787667,0.23787667,4.59321052,3.58,1.01321052,1.01321052,-20.000766268992,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
LiCl,rocksalt,GFN2,k444,k444,quadratic,True,,4.83412333,5.072,-0.23787667,0.23787667,4.59833241,3.58,1.01833241,1.01833241,-20.002272076973,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
LiCl,rocksalt,GFN2,k444,k555,quadratic,True,,4.83412333,5.072,-0.23787667,0.23787667,4.59966773,3.58,1.01966773,1.01966773,-20.002664652510,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
