solid,structure,method,eos_mesh,energy_mesh,fit_status,sp_completed,a_calc_A,a_ref_exp_A,a_error_A,a_abs_error_A,ecoh_calc_eV_per_atom,ecoh_ref_exp_eV_per_atom,ecoh_error_eV_per_atom,ecoh_abs_error_eV_per_atom,solid_energy_hartree,atom_reference_source,a_HF_A,a_MP2_A,a_SCS_MP2_A,a_SOS_MP2_A,ecoh_HF_eV_per_atom,ecoh_MP2_eV_per_atom,ecoh_SCS_MP2_eV_per_atom,ecoh_SOS_MP2_eV_per_atom
MgS,rocksalt,GFN1,k444,k444,quadratic,True,4.96413014,5.188,-0.22386986,0.22386986,3.59091919,4.04,-0.44908081,0.44908081,-18.123533999854,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
MgS,rocksalt,GFN1,k444,k555,quadratic,True,4.96413014,5.188,-0.22386986,0.22386986,3.59366970,4.04,-0.44633030,0.44633030,-18.124342633601,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
MgS,rocksalt,GFN2,k444,k333,quadratic,True,4.99516337,5.188,-0.19283663,0.19283663,4.51390526,4.04,0.47390526,0.47390526,-15.776789808813,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
MgS,rocksalt,GFN2,k444,k444,quadratic,True,4.99516337,5.188,-0.19283663,0.19283663,4.51604655,4.04,0.47604655,0.47604655,-15.777419336609,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
MgS,rocksalt,GFN2,k444,k555,quadratic,True,4.99516337,5.188,-0.19283663,0.19283663,4.51718196,4.04,0.47718196,0.47718196,-15.777753139629,tblite_cli,5.281,5.171,5.191,5.201,2.78,4.2,3.97,3.86
LiH,rocksalt,GFN1,k444,k333,quadratic,True,4.00393175,3.979,0.02493175,0.02493175,3.78766708,2.49,1.29766708,1.29766708,-3.787957251232,tblite_cli,4.094,3.996,4.009,4.015,1.85,2.41,2.45,2.48
LiH,rocksalt,GFN1,k444,k444,quadratic,True,4.00393175,3.979,0.02493175,0.02493175,3.80583616,2.49,1.31583616,1.31583616,-3.793298862196,tblite_cli,4.094,3.996,4.009,4.015,1.85,2.41,2.45,2.48
LiH,rocksalt,GFN1,k444,k555,quadratic,True,4.00393175,3.979,0.02493175,0.02493175,3.80841900,2.49,1.31841900,1.31841900,-3.794058203491,tblite_cli,4.094,3.996,4.009,4.015,1.85,2.41,2.45,2.48
LiF,rocksalt,GFN1,k444,k333,quadratic,True,3.64607389,3.973,-0.32692611,0.32692611,5.20483274,4.46,0.74483274,0.74483274,-22.586657742235,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiF,rocksalt,GFN1,k444,k444,quadratic,True,3.64607389,3.973,-0.32692611,0.32692611,5.23964734,4.46,0.77964734,0.77964734,-22.596893046438,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
